id,name,area,area_name
6587,XF2A001,43,A区
6588,XF2A002,43,A区
6589,XF2A003,43,A区
6590,XF2A004,43,A区
6591,XF2A005,43,A区
6592,XF2A006,43,A区
6593,XF2A007,43,A区
6594,XF2A008,43,A区
6595,XF2A009,43,A区
6596,XF2A010,43,A区
6597,XF2A011,43,A区
6598,XF2A012,43,A区
6599,XF2A013,43,A区
6600,XF2A014,43,A区
6601,XF2A015,43,A区
6602,XF2A016,43,A区
6603,XF2A017,43,A区
6604,XF2A018,43,A区
6605,XF2A019,43,A区
6606,XF2A020,43,A区
6607,XF2A021,43,A区
6608,XF2A022,43,A区
6609,XF2A023,43,A区
6610,XF2A024,43,A区
6611,XF2A025,43,A区
6612,XF2A026,43,A区
6613,XF2A027,43,A区
6614,XF2A028,43,A区
6615,XF2A029,43,A区
6616,XF2A030,43,A区
6617,XF2A031,43,A区
6618,XF2A032,43,A区
6619,XF2A033,43,A区
6620,XF2A034,43,A区
6621,XF2A035,43,A区
6622,XF2A036,43,A区
6623,XF2A037,43,A区
6624,XF2A038,43,A区
6625,XF2A039,43,A区
6626,XF2A040,43,A区
6627,XF2A041,43,A区
6628,XF2A042,43,A区
6629,XF2A043,43,A区
6630,XF2A044,43,A区
6631,XF2A045,43,A区
6632,XF2A046,43,A区
6633,XF2A047,43,A区
6634,XF2A048,43,A区
6635,XF2A049,43,A区
6636,XF2A050,43,A区
6637,XF2A051,43,A区
6638,XF2A052,43,A区
6639,XF2A053,43,A区
6640,XF2A054,43,A区
6641,XF2A055,43,A区
6642,XF2A056,43,A区
6643,XF2A057,43,A区
6644,XF2A058,43,A区
6645,XF2A059,43,A区
6646,XF2A060,43,A区
6647,XF2A061,43,A区
6648,XF2A062,43,A区
6649,XF2A063,43,A区
6650,XF2A064,43,A区
6651,XF2A065,43,A区
6652,XF2A066,43,A区
6653,XF2A067,43,A区
6654,XF2A068,43,A区
6655,XF2A069,43,A区
6656,XF2A070,43,A区
6657,XF2A071,43,A区
6658,XF2A072,43,A区
6659,XF2A073,43,A区
6660,XF2A074,43,A区
6661,XF2A075,43,A区
6662,XF2A076,43,A区
6663,XF2A077,43,A区
6664,XF2A078,43,A区
6665,XF2A079,43,A区
6666,XF2A080,43,A区
6667,XF2A081,43,A区
6668,XF2A082,43,A区
6669,XF2A083,43,A区
6670,XF2A084,43,A区
6671,XF2A085,43,A区
6672,XF2A086,43,A区
6673,XF2A087,43,A区
6674,XF2A088,43,A区
6675,XF2A089,43,A区
6676,XF2A090,43,A区
6677,XF2A091,43,A区
6678,XF2A092,43,A区
6679,XF2A093,43,A区
6680,XF2A094,43,A区
6681,XF2A095,43,A区
6682,XF2A096,43,A区
6683,XF2A097,43,A区
6684,XF2A098,43,A区
6685,XF2A099,43,A区
6686,XF2A100,43,A区
6687,XF2A101,43,A区
6688,XF2A102,43,A区
6689,XF2A103,43,A区
6690,XF2A104,43,A区
6691,XF2A105,43,A区
6692,XF2A106,43,A区
6693,XF2A107,43,A区
6694,XF2A108,43,A区
6695,XF2A109,43,A区
6696,XF2A110,43,A区
6697,XF2A111,43,A区
6698,XF2A112,43,A区
6699,XF2A113,43,A区
6700,XF2A114,43,A区
6701,XF2A115,43,A区
6702,XF2A116,43,A区
6703,XF2A117,43,A区
6704,XF2A118,43,A区
6705,XF2A119,43,A区
6706,XF2A120,43,A区
7041,XF3A001,48,A区
7042,XF3A002,48,A区
7043,XF3A003,48,A区
7044,XF3A004,48,A区
7045,XF3A005,48,A区
7046,XF3A006,48,A区
7047,XF3A007,48,A区
7048,XF3A008,48,A区
7049,XF3A009,48,A区
7050,XF3A010,48,A区
7051,XF3A011,48,A区
7052,XF3A012,48,A区
7053,XF3A013,48,A区
7054,XF3A014,48,A区
7055,XF3A015,48,A区
7056,XF3A016,48,A区
7057,XF3A017,48,A区
7058,XF3A018,48,A区
7059,XF3A019,48,A区
7060,XF3A020,48,A区
7061,XF3A021,48,A区
7062,XF3A022,48,A区
7063,XF3A023,48,A区
7064,XF3A024,48,A区
7065,XF3A025,48,A区
7066,XF3A026,48,A区
7067,XF3A027,48,A区
7068,XF3A028,48,A区
7069,XF3A029,48,A区
7070,XF3A030,48,A区
7071,XF3A031,48,A区
7072,XF3A032,48,A区
7073,XF3A033,48,A区
7074,XF3A034,48,A区
7075,XF3A035,48,A区
7076,XF3A036,48,A区
7077,XF3A037,48,A区
7078,XF3A038,48,A区
7079,XF3A039,48,A区
7080,XF3A040,48,A区
7081,XF3A041,48,A区
7082,XF3A042,48,A区
7083,XF3A043,48,A区
7084,XF3A044,48,A区
7085,XF3A045,48,A区
7086,XF3A046,48,A区
7087,XF3A047,48,A区
7088,XF3A048,48,A区
7089,XF3A049,48,A区
7090,XF3A050,48,A区
7091,XF3A051,48,A区
7092,XF3A052,48,A区
7093,XF3A053,48,A区
7094,XF3A054,48,A区
7095,XF3A055,48,A区
7096,XF3A056,48,A区
7097,XF3A057,48,A区
7098,XF3A058,48,A区
7099,XF3A059,48,A区
7100,XF3A060,48,A区
7101,XF3A061,48,A区
7102,XF3A062,48,A区
7103,XF3A063,48,A区
7104,XF3A064,48,A区
7105,XF3A065,48,A区
7106,XF3A066,48,A区
7107,XF3A067,48,A区
7108,XF3A068,48,A区
7109,XF3A069,48,A区
7110,XF3A070,48,A区
7111,XF3A071,48,A区
7112,XF3A072,48,A区
7113,XF3A073,48,A区
7114,XF3A074,48,A区
7115,XF3A075,48,A区
7116,XF3A076,48,A区
7117,XF3A077,48,A区
7118,XF3A078,48,A区
7119,XF3A079,48,A区
7120,XF3A080,48,A区
7121,XF3A081,48,A区
7122,XF3A082,48,A区
7123,XF3A083,48,A区
7124,XF3A084,48,A区
7125,XF3A085,48,A区
7126,XF3A086,48,A区
7127,XF3A087,48,A区
7128,XF3A088,48,A区
7129,XF3A089,48,A区
7130,XF3A090,48,A区
7131,XF3A091,48,A区
